"trialId","answer","correctAnswer","pid"
"bubble_chart-locate_value-weather_and_climate","Location C","Location C","p16"
"bubble_chart-retrieve_value-economy","7 million","7 million","p16"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p16"
"bubble_chart_with_outlier-identify_anomalies-energy_and_environment","Country D","Country A","p16"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p16"
"choropleth_map-make_comparisons-health","Colorado","Colorado","p16"
"choropleth_map-retrieve_value-economy","99708","99708","p16"
"histogram-locate_value-economy","$82,000","$82,000","p16"
"histogram-make_comparisons-innovation","5-10 contains more observations.","5-10 contains more observations.","p16"
"histogram-retrieve_value-health","222","222","p16"
"line_chart-describe_trend_or_correlation-population_and_demography","The population increased steadily over the years.","The population increased steadily over the years.","p16"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-health","32 bpm","32 bpm","p16"
"line_chart-identify_range-politics","[32, 68]","[32, 68]","p16"
"line_chart-locate_value-economy","2003","2003","p16"
"line_chart-retrieve_value-health","64","64","p16"
"pie_chart-locate_value-population_and_demography","Adults","Adults","p16"
"pie_chart-make_comparisons-weather_and_climate","Tropical","Tropical","p16"
"pie_chart-retrieve_value-economy","40%","40%","p16"
"scatterplot-describe_trend_or_correlation-politics","As Voter Turnout increases, Opposition Support decreases.","As Voter Turnout increases, Opposition Support decreases.","p16"
"scatterplot-identify_range-health","[51, 100]","[51, 100]","p16"
"scatterplot-locate_value-innovation","Research Investment of 38 million","Research Investment of 38 million","p16"
"scatterplot-make_comparisons-health","50-60 kg","50-60 kg","p16"
"scatterplot-retrieve_value-economy","0","0","p16"
"scatterplot_with_cluster-identify_clusters-economy","Around GDP of 300 and Unemployment Rate of 12","Around GDP of 300 and Unemployment Rate of 12","p16"
"scatterplot_with_outlier-identify_anomalies-food_and_agriculture","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","p16"
"stacked_area_chart-describe_trend_or_correlation-energy_and_environment","No energy source shows a consistently increasing trend over the years.","No energy source shows a consistently increasing trend over the years.","p16"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","1.1","1.1","p16"
"stacked_area_chart-locate_value-food_and_agriculture","2012","2012","p16"
"stacked_area_chart-make_comparisons-population_and_demography","Age group ""65+"" had a larger population.","Age group ""65+"" had a larger population.","p16"
"stacked_area_chart-retrieve_value-education","431","431","p16"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","1.2","1.2","p16"
"stacked_bar_chart-locate_value-health","Clinic 7","Clinic 7","p16"
"stacked_bar_chart-make_comparisons-population_and_demography","Region F","Region F","p16"
"stacked_bar_chart-retrieve_value-weather_and_climate","35","51","p16"
"tree_map-identify_the_hierarchical_structure-economy","Manufacturing","Manufacturing","p16"
"tree_map-locate_value-health","Cardiology: Hypertension","Cardiology: Hypertension","p16"
"tree_map-retrieve_value-innovation","20%","20%","p16"
"100_percent_stacked_bar_chart-locate_value-weather_and_climate","Location_A","Location_A","p25"
"100_percent_stacked_bar_chart-make_comparisons-innovation","Company C","Company A","p25"
"100_percent_stacked_bar_chart-retrieve_value-politics","42%","42%","p25"
"area_chart-describe_trend_or_correlation-innovation","No clear trend, with the number of innovations fluctuating each year.","No clear trend, with the number of innovations fluctuating each year.","p25"
"area_chart-identify_range-energy_and_environment","[138, 961]","[138, 961]","p25"
"area_chart-locate_value-weather_and_climate","Day 11","Day 11","p25"
"area_chart-retrieve_value-food_and_agriculture","162","191","p25"
"bar_chart-identify_range-politics","[1941, 9918]","[1941, 9918]","p25"
"bar_chart-locate_value-innovation","Renewable Energy","Renewable Energy","p25"
"bar_chart-make_comparisons-energy_and_environment","Solar has a higher production level than Coal.","Solar has a higher production level than Coal.","p25"
"bar_chart-retrieve_value-economy","405","405","p25"
"bubble_chart-describe_trend_or_correlation-education","There is no clear trend or correlation between the average test score and the number of students.","There is no clear trend or correlation between the average test score and the number of students.","p25"
"bubble_chart-identify_range-weather_and_climate","[62, 96]","[62, 96]","p25"
"bubble_chart-locate_value-education","School C","School C","p25"
"bubble_chart-make_comparisons-health","The patient aged 61 years","The patient aged 33 years","p25"
"bubble_chart-retrieve_value-energy_and_environment","118034","118034","p25"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p25"
"bubble_chart_with_outlier-identify_anomalies-population_and_demography","Outlands","Outlands","p25"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p25"
"choropleth_map-make_comparisons-economy","Florida","Florida","p25"
"choropleth_map-retrieve_value-health","1994","1994","p25"
"histogram-locate_value-economy","$55,000","$82,000","p25"
"histogram-make_comparisons-weather_and_climate","60-70°F","60-70°F","p25"
"histogram-retrieve_value-health","222","222","p25"
"line_chart-describe_trend_or_correlation-food_and_agriculture","Agricultural production shows a consistent decrease from 2000 to 2019.","Agricultural production shows a consistent decrease from 2000 to 2019.","p25"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","34000000","29457000","p25"
"line_chart-identify_range-economy","[1, 10]","[1, 10]","p25"
"line_chart-locate_value-economy","2003","2003","p25"
"line_chart-retrieve_value-economy","10","10","p25"
"pie_chart-locate_value-economy","Construction","Construction","p25"
"pie_chart-make_comparisons-economy","Agriculture","Agriculture","p25"
"pie_chart-retrieve_value-weather_and_climate","30%","30%","p25"
"scatterplot-describe_trend_or_correlation-weather_and_climate","A moderate positive correlation between temperature and humidity","A moderate positive correlation between temperature and humidity","p25"
"scatterplot-identify_range-population_and_demography","[20, 79]","[20, 79]","p25"
"scatterplot-locate_value-politics","Voter Turnout at 56%","Voter Turnout at 56%","p25"
"scatterplot-make_comparisons-health","50-60 kg","50-60 kg","p25"
"scatterplot-retrieve_value-energy_and_environment","476","476","p25"
"scatterplot_with_cluster-identify_clusters-population_and_demography","Around 3500 Population and 50 Median Age","Around 3500 Population and 50 Median Age","p25"
"scatterplot_with_outlier-identify_anomalies-innovation","Innovation Index of 150 and Patent Count of 30","Innovation Index of 150 and Patent Count of 30","p25"
"stacked_area_chart-describe_trend_or_correlation-energy_and_environment","No energy source shows a consistently increasing trend over the years.","No energy source shows a consistently increasing trend over the years.","p25"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","3.2","2.2","p25"
"stacked_area_chart-locate_value-health","2018","2018","p25"
"stacked_area_chart-make_comparisons-economy","Agriculture","Agriculture","p25"
"stacked_area_chart-retrieve_value-energy_and_environment","312 GWh","312 GWh","p25"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","1.2","1.2","p25"
"stacked_bar_chart-locate_value-weather_and_climate","CityF","CityF","p25"
"stacked_bar_chart-make_comparisons-population_and_demography","Region F","Region F","p25"
"stacked_bar_chart-retrieve_value-education","192","192","p25"
"tree_map-identify_the_hierarchical_structure-economy","Manufacturing","Manufacturing","p25"
"tree_map-locate_value-economy","Livestock","Livestock","p25"
"tree_map-retrieve_value-health","23%","5%","p25"
"100_percent_stacked_bar_chart-locate_value-food_and_agriculture","Dairy in 2021","Vegetables in 2020","p4"
"100_percent_stacked_bar_chart-make_comparisons-economy","Manufacturing","Manufacturing","p4"
"100_percent_stacked_bar_chart-retrieve_value-health","3%","3%","p4"
"area_chart-describe_trend_or_correlation-weather_and_climate","The temperature shows an increasing trend initially and then stabilizes.","The temperature shows an increasing trend initially and then stabilizes.","p4"
"area_chart-identify_range-innovation","[58, 150]","[58, 150]","p4"
"area_chart-locate_value-economy","Every year from 2001 to 2020","Every year from 2001 to 2020","p4"
"area_chart-retrieve_value-weather_and_climate","97","97","p4"
"bar_chart-identify_range-economy","[113, 473]","[113, 473]","p4"
"bar_chart-locate_value-population_and_demography","1194","1194","p4"
"bar_chart-make_comparisons-weather_and_climate","City3","City3","p4"
"bar_chart-retrieve_value-population_and_demography","3226","3226","p4"
"bubble_chart-describe_trend_or_correlation-politics","Parties with more votes tend to have more seats.","Parties with more votes tend to have more seats.","p4"
"bubble_chart-identify_range-economy","[217, 625]","[217, 625]","p4"
"bubble_chart-locate_value-weather_and_climate","Location C","Location C","p4"
"bubble_chart-retrieve_value-population_and_demography","110000","95160","p4"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p4"
"bubble_chart_with_outlier-identify_anomalies-education","School A","School A","p4"
"choropleth_map-locate_value-politics","New York","New York","p4"
"choropleth_map-make_comparisons-education","Colorado","Colorado","p4"
"choropleth_map-retrieve_value-politics","939","939","p4"
"histogram-locate_value-energy_and_environment","80 MWh","63 MWh","p4"
"histogram-make_comparisons-weather_and_climate","60-70°F","60-70°F","p4"
"histogram-retrieve_value-health","222","222","p4"
"line_chart-describe_trend_or_correlation-weather_and_climate","Temperatures fluctuate without a clear trend.","Temperatures fluctuate without a clear trend.","p4"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-education","42","42","p4"
"line_chart-identify_range-innovation","[117, 1107]","[138, 961]","p4"
"line_chart-locate_value-weather_and_climate","Day 11 and Day 20","Day 11 and Day 20","p4"
"line_chart-retrieve_value-economy","10","10","p4"
"pie_chart-locate_value-education","Postgraduate","Postgraduate","p4"
"pie_chart-make_comparisons-energy_and_environment","Solar","Solar","p4"
"pie_chart-retrieve_value-weather_and_climate","30%","30%","p4"
"scatterplot-describe_trend_or_correlation-health","A strong negative correlation between Weight and Height.","A strong negative correlation between Weight and Height.","p4"
"scatterplot-identify_range-economy","[537, 1991]","[537, 1991]","p4"
"scatterplot-locate_value-population_and_demography","Population: 4003","Population: 4003","p4"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p4"
"scatterplot-retrieve_value-population_and_demography","47","47","p4"
"scatterplot_with_cluster-identify_clusters-weather_and_climate","Around 50 degrees temperature and 50 degrees humidity","Around 50 degrees temperature and 50 degrees humidity","p4"
"scatterplot_with_outlier-identify_anomalies-politics","Political Support at 51 and Opposition at 150","Political Support at 51 and Opposition at 150","p4"
"stacked_area_chart-describe_trend_or_correlation-energy_and_environment","Wind energy production has shown a consistent increase each year.","No energy source shows a consistently increasing trend over the years.","p4"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","2.1","1.1","p4"
"stacked_area_chart-locate_value-food_and_agriculture","2012","2012","p4"
"stacked_area_chart-make_comparisons-education","College","Elementary","p4"
"stacked_area_chart-retrieve_value-politics","779","917","p4"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-innovation","2.0","2.0","p4"
"stacked_bar_chart-locate_value-energy_and_environment","Country F - Hydro","Country H - Nuclear","p4"
"stacked_bar_chart-make_comparisons-weather_and_climate","CityA","CityA","p4"
"stacked_bar_chart-retrieve_value-politics","700","472","p4"
"tree_map-identify_the_hierarchical_structure-politics","Foreign Policy","Foreign Policy","p4"
"tree_map-locate_value-innovation","Pharma","Pharma","p4"
"tree_map-retrieve_value-food_and_agriculture","17%","17%","p4"
"100_percent_stacked_bar_chart-locate_value-energy_and_environment","2020, Solar","2020, Solar","p28"
"100_percent_stacked_bar_chart-make_comparisons-weather_and_climate","Cloudy","Cloudy","p28"
"100_percent_stacked_bar_chart-retrieve_value-innovation","44%","44%","p28"
"area_chart-describe_trend_or_correlation-population_and_demography","The population has decreased steadily over the years.","The population has decreased steadily over the years.","p28"
"area_chart-identify_range-economy","[961, 961]","[961, 961]","p28"
"area_chart-locate_value-education","2019","2019","p28"
"area_chart-retrieve_value-population_and_demography","3112","3112","p28"
"bar_chart-identify_range-politics","[1941, 9918]","[1941, 9918]","p28"
"bar_chart-locate_value-politics","Pirate","Pirate","p28"
"bar_chart-make_comparisons-health","Tuberculosis has more reported cases than Asthma.","Tuberculosis has more reported cases than Asthma.","p28"
"bar_chart-retrieve_value-weather_and_climate","100","100","p28"
"bubble_chart-describe_trend_or_correlation-economy","There is no clear trend or correlation between GDP and Unemployment Rate.","There is no clear trend or correlation between GDP and Unemployment Rate.","p28"
"bubble_chart-identify_range-economy","[217, 625]","[217, 625]","p28"
"bubble_chart-locate_value-population_and_demography","Gotham","Gotham","p28"
"bubble_chart-make_comparisons-weather_and_climate","Location B","Location B","p28"
"bubble_chart-retrieve_value-weather_and_climate","10 mm","2 mm","p28"
"bubble_chart_with_cluster-identify_clusters-innovation","Company A, Company B, Company C, Company D","Company A, Company B, Company C, Company D","p28"
"bubble_chart_with_outlier-identify_anomalies-innovation","Company A","Company A","p28"
"choropleth_map-locate_value-weather_and_climate","Iowa","Iowa","p28"
"choropleth_map-make_comparisons-politics","Michigan","Michigan","p28"
"choropleth_map-retrieve_value-education","294","294","p28"
"histogram-locate_value-education","107","107","p28"
"histogram-make_comparisons-education","95-99","80-84","p28"
"histogram-retrieve_value-health","222","222","p28"
"line_chart-describe_trend_or_correlation-economy","A cyclical pattern with regular intervals of peaks and troughs.","No clear trend or correlation in GDP growth rates over the years.","p28"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","25000000","29457000","p28"
"line_chart-identify_range-politics","[32, 68]","[32, 68]","p28"
"line_chart-locate_value-population_and_demography","2015","2015","p28"
"line_chart-retrieve_value-health","64","64","p28"
"pie_chart-locate_value-politics","Green","Green","p28"
"pie_chart-make_comparisons-weather_and_climate","Tropical","Tropical","p28"
"pie_chart-retrieve_value-food_and_agriculture","10%","10%","p28"
"scatterplot-describe_trend_or_correlation-economy","As GDP increases, Unemployment Rate decreases.","As GDP increases, Unemployment Rate decreases.","p28"
"scatterplot-identify_range-education","[1, 20]","[1, 20]","p28"
"scatterplot-locate_value-weather_and_climate","Temperature 100°F, Humidity 72%","Temperature 100°F, Humidity 72%","p28"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p28"
"scatterplot-retrieve_value-health","117 cm","117 cm","p28"
"scatterplot_with_cluster-identify_clusters-economy","Around GDP of 300 and Unemployment Rate of 12","Around GDP of 300 and Unemployment Rate of 12","p28"
"scatterplot_with_outlier-identify_anomalies-politics","Political Support at 51 and Opposition at 150","Political Support at 51 and Opposition at 150","p28"
"stacked_area_chart-describe_trend_or_correlation-politics","The Conservative party received the most votes every year.","No clear trend or correlation in votes is observed across the parties over the years.","p28"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-innovation","2.1","1.1","p28"
"stacked_area_chart-locate_value-food_and_agriculture","2012","2012","p28"
"stacked_area_chart-make_comparisons-health","Cardiovascular","Cardiovascular","p28"
"stacked_area_chart-retrieve_value-health","239","339","p28"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","0.2","1.2","p28"
"stacked_bar_chart-locate_value-energy_and_environment","Country H - Nuclear","Country H - Nuclear","p28"
"stacked_bar_chart-make_comparisons-economy","Agriculture","Technology","p28"
"stacked_bar_chart-retrieve_value-politics","300","472","p28"
"tree_map-identify_the_hierarchical_structure-politics","Foreign Policy","Foreign Policy","p28"
"tree_map-locate_value-innovation","Pharma","Pharma","p28"
"tree_map-retrieve_value-education","20%","20%","p28"
"100_percent_stacked_bar_chart-locate_value-weather_and_climate","Location_B","Location_A","p44"
"100_percent_stacked_bar_chart-make_comparisons-weather_and_climate","Cloudy","Cloudy","p44"
"100_percent_stacked_bar_chart-retrieve_value-food_and_agriculture","19%","19%","p44"
"area_chart-describe_trend_or_correlation-politics","No clear trend or correlation in votes over the years.","No clear trend or correlation in votes over the years.","p44"
"area_chart-identify_range-economy","[961, 961]","[961, 961]","p44"
"area_chart-locate_value-education","2019","2019","p44"
"area_chart-retrieve_value-politics","328","328","p44"
"bar_chart-identify_range-health","[50, 489]","[63, 475]","p44"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p44"
"bar_chart-make_comparisons-innovation","IoT","IoT","p44"
"bar_chart-retrieve_value-economy","405","405","p44"
"bubble_chart-describe_trend_or_correlation-population_and_demography","There is no clear trend or correlation between GDP Per Capita and Population.","There is no clear trend or correlation between GDP Per Capita and Population.","p44"
"bubble_chart-identify_range-population_and_demography","[39641, 95160]","[39641, 95160]","p44"
"bubble_chart-locate_value-economy","Deltora","Deltora","p44"
"bubble_chart-make_comparisons-education","Neither school has a larger bubble size with a lower average test score","School A","p44"
"bubble_chart-retrieve_value-population_and_demography","95160","95160","p44"
"bubble_chart_with_cluster-identify_clusters-innovation","Company A, Company B, Company C, Company D","Company A, Company B, Company C, Company D","p44"
"bubble_chart_with_outlier-identify_anomalies-economy","Country A","Country A","p44"
"choropleth_map-locate_value-politics","New York","New York","p44"
"choropleth_map-make_comparisons-energy_and_environment","California","California","p44"
"choropleth_map-retrieve_value-food_and_agriculture","939","939","p44"
"histogram-locate_value-education","107","107","p44"
"histogram-make_comparisons-education","95-99","80-84","p44"
"histogram-retrieve_value-health","222","222","p44"
"line_chart-describe_trend_or_correlation-economy","No clear trend or correlation in GDP growth rates over the years.","No clear trend or correlation in GDP growth rates over the years.","p44"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-innovation","947","823","p44"
"line_chart-identify_range-politics","[32, 68]","[32, 68]","p44"
"line_chart-locate_value-economy","2003","2003","p44"
"line_chart-retrieve_value-weather_and_climate","73","73","p44"
"pie_chart-locate_value-population_and_demography","Adults","Adults","p44"
"pie_chart-make_comparisons-economy","Agriculture","Agriculture","p44"
"pie_chart-retrieve_value-economy","40%","40%","p44"
"scatterplot-describe_trend_or_correlation-weather_and_climate","A perfect positive correlation between temperature and humidity","A moderate positive correlation between temperature and humidity","p44"
"scatterplot-identify_range-weather_and_climate","[62°F, 100°F]","[62°F, 100°F]","p44"
"scatterplot-locate_value-health","51 kg","51 kg","p44"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p44"
"scatterplot-retrieve_value-economy","0","0","p44"
"scatterplot_with_cluster-identify_clusters-weather_and_climate","Around 50 degrees temperature and 50 degrees humidity","Around 50 degrees temperature and 50 degrees humidity","p44"
"scatterplot_with_outlier-identify_anomalies-innovation","Innovation Index of 150 and Patent Count of 30","Innovation Index of 150 and Patent Count of 30","p44"
"stacked_area_chart-describe_trend_or_correlation-education","Enrollment numbers show no clear trend and fluctuate for all education levels.","Enrollment numbers show no clear trend and fluctuate for all education levels.","p44"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","0.7","0.7","p44"
"stacked_area_chart-locate_value-health","2018","2018","p44"
"stacked_area_chart-make_comparisons-health","Cardiovascular","Cardiovascular","p44"
"stacked_area_chart-retrieve_value-education","500","431","p44"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health","0.9","0.9","p44"
"stacked_bar_chart-locate_value-weather_and_climate","CityF","CityF","p44"
"stacked_bar_chart-make_comparisons-weather_and_climate","CityA","CityA","p44"
"stacked_bar_chart-retrieve_value-economy","492","492","p44"
"tree_map-identify_the_hierarchical_structure-politics","Foreign Policy","Foreign Policy","p44"
"tree_map-locate_value-food_and_agriculture","Lettuces","Lettuces","p44"
"tree_map-retrieve_value-economy","15%","15%","p44"
"100_percent_stacked_bar_chart-locate_value-innovation","Company C","Company E","p20"
"100_percent_stacked_bar_chart-make_comparisons-innovation","Company A","Company A","p20"
"100_percent_stacked_bar_chart-retrieve_value-weather_and_climate","29%","29%","p20"
"area_chart-describe_trend_or_correlation-innovation","No clear trend, with the number of innovations fluctuating each year.","No clear trend, with the number of innovations fluctuating each year.","p20"
"area_chart-identify_range-innovation","[40, 180]","[58, 150]","p20"
"area_chart-locate_value-education","2019","2019","p20"
"area_chart-retrieve_value-education","6953","6953","p20"
"bar_chart-identify_range-economy","[95, 488]","[113, 473]","p20"
"bar_chart-locate_value-politics","Pirate","Pirate","p20"
"bar_chart-make_comparisons-politics","Socialist","Socialist","p20"
"bar_chart-retrieve_value-politics","8817","8817","p20"
"bubble_chart-describe_trend_or_correlation-population_and_demography","Cities with higher GDP Per Capita tend to have smaller populations.","There is no clear trend or correlation between GDP Per Capita and Population.","p20"
"bubble_chart-identify_range-economy","[150, 750]","[217, 625]","p20"
"bubble_chart-locate_value-politics","Green Party with $3,214,790","Libertarian Party with $1,378,536","p20"
"bubble_chart-retrieve_value-economy","15 million","7 million","p20"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p20"
"bubble_chart_with_outlier-identify_anomalies-energy_and_environment","Country D","Country A","p20"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p20"
"choropleth_map-make_comparisons-weather_and_climate","Florida","Florida","p20"
"choropleth_map-retrieve_value-food_and_agriculture","939","939","p20"
"histogram-locate_value-weather_and_climate","90°F","90°F","p20"
"histogram-make_comparisons-energy_and_environment","0-10 MWh","0-10 MWh","p20"
"histogram-retrieve_value-health","188","222","p20"
"line_chart-describe_trend_or_correlation-economy","A cyclical pattern with regular intervals of peaks and troughs.","No clear trend or correlation in GDP growth rates over the years.","p20"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-politics","48","36","p20"
"line_chart-identify_range-politics","[32, 68]","[32, 68]","p20"
"line_chart-locate_value-politics","2000","2000","p20"
"line_chart-retrieve_value-weather_and_climate","88","73","p20"
"pie_chart-locate_value-economy","Construction","Construction","p20"
"pie_chart-make_comparisons-food_and_agriculture","Grains","Grains","p20"
"pie_chart-retrieve_value-health","40%","25%","p20"
"scatterplot-describe_trend_or_correlation-education","As Study Hours increase, Average Grade also increases.","There is no clear trend or correlation between Study Hours and Average Grade.","p20"
"scatterplot-identify_range-innovation","[106, 200]","[106, 200]","p20"
"scatterplot-locate_value-weather_and_climate","Temperature 100°F, Humidity 72%","Temperature 100°F, Humidity 72%","p20"
"scatterplot-make_comparisons-weather_and_climate","90-100°F","90-100°F","p20"
"scatterplot-retrieve_value-health","117 cm","117 cm","p20"
"scatterplot_with_cluster-identify_clusters-health","Around 75 kg Weight and 175 cm Height","Around 75 kg Weight and 175 cm Height","p20"
"scatterplot_with_outlier-identify_anomalies-weather_and_climate","Temperature at 109°F and Humidity at 96%","Temperature at 109°F and Humidity at 96%","p20"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","Production of each crop fluctuates without a clear upward or downward trend.","Production of each crop fluctuates without a clear upward or downward trend.","p20"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","1.8","0.7","p20"
"stacked_area_chart-locate_value-education","106","106","p20"
"stacked_area_chart-make_comparisons-food_and_agriculture","Wheat","It varied by year.","p20"
"stacked_area_chart-retrieve_value-economy","600","452","p20"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-innovation","2.0","2.0","p20"
"stacked_bar_chart-locate_value-education","School C, Grade 9","School C, Grade 10","p20"
"stacked_bar_chart-make_comparisons-weather_and_climate","CityA","CityA","p20"
"stacked_bar_chart-retrieve_value-population_and_demography","22300","22300","p20"
"tree_map-identify_the_hierarchical_structure-economy","Manufacturing","Manufacturing","p20"
"tree_map-locate_value-economy","Livestock","Livestock","p20"
"tree_map-retrieve_value-food_and_agriculture","32%","17%","p20"
"100_percent_stacked_bar_chart-locate_value-economy","Agriculture, 2020","Agriculture, 2020","p49"
"100_percent_stacked_bar_chart-make_comparisons-economy","Both had the same share","Manufacturing","p49"
"100_percent_stacked_bar_chart-retrieve_value-weather_and_climate","29%","29%","p49"
"area_chart-describe_trend_or_correlation-politics","No clear trend or correlation in votes over the years.","No clear trend or correlation in votes over the years.","p49"
"area_chart-identify_range-population_and_demography","[1168, 4827]","[1168, 4827]","p49"
"area_chart-locate_value-economy","Every year from 2001 to 2020","Every year from 2001 to 2020","p49"
"area_chart-retrieve_value-health","99","99","p49"
"bar_chart-identify_range-energy_and_environment","[113, 405]","[113, 405]","p49"
"bar_chart-locate_value-economy","Manufacturing","Manufacturing","p49"
"bar_chart-make_comparisons-weather_and_climate","City3","City3","p49"
"bar_chart-retrieve_value-population_and_demography","3226","3226","p49"
"bubble_chart-describe_trend_or_correlation-population_and_demography","Cities with higher GDP Per Capita tend to have smaller populations.","There is no clear trend or correlation between GDP Per Capita and Population.","p49"
"bubble_chart-identify_range-economy","[217, 625]","[217, 625]","p49"
"bubble_chart-locate_value-health","Patient 2","Patient 2","p49"
"bubble_chart-make_comparisons-education","School A","School A","p49"
"bubble_chart-retrieve_value-health","134","134","p49"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p49"
"bubble_chart_with_outlier-identify_anomalies-innovation","Company A","Company A","p49"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p49"
"choropleth_map-make_comparisons-economy","Florida","Florida","p49"
"choropleth_map-retrieve_value-economy","99708","99708","p49"
"histogram-locate_value-economy","$82,000","$82,000","p49"
"histogram-make_comparisons-health","150-159","150-159","p49"
"histogram-retrieve_value-health","222","222","p49"
"line_chart-describe_trend_or_correlation-population_and_demography","The population increased steadily over the years.","The population increased steadily over the years.","p49"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-economy","3","8","p49"
"line_chart-identify_range-weather_and_climate","[52, 98]","[52, 98]","p49"
"line_chart-locate_value-economy","2003","2003","p49"
"line_chart-retrieve_value-politics","57","57","p49"
"pie_chart-locate_value-politics","Green","Green","p49"
"pie_chart-make_comparisons-economy","Agriculture","Agriculture","p49"
"pie_chart-retrieve_value-economy","40%","40%","p49"
"scatterplot-describe_trend_or_correlation-energy_and_environment","No correlation","No correlation","p49"
"scatterplot-identify_range-politics","[52, 90]","[52, 90]","p49"
"scatterplot-locate_value-innovation","Research Investment of 38 million","Research Investment of 38 million","p49"
"scatterplot-make_comparisons-energy_and_environment","Energy Consumption over 400 MWh","Energy Consumption over 400 MWh","p49"
"scatterplot-retrieve_value-economy","0","0","p49"
"scatterplot_with_cluster-identify_clusters-population_and_demography","Around 3500 Population and 50 Median Age","Around 3500 Population and 50 Median Age","p49"
"scatterplot_with_outlier-identify_anomalies-energy_and_environment","Energy Consumption: 750 MWh, CO2 Emissions: 1500 Metric Tons","Energy Consumption: 750 MWh, CO2 Emissions: 1500 Metric Tons","p49"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","One crop dominates the production throughout the entire period.","Production of each crop fluctuates without a clear upward or downward trend.","p49"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","0.7","0.7","p49"
"stacked_area_chart-locate_value-energy_and_environment","2000","2005","p49"
"stacked_area_chart-make_comparisons-population_and_demography","Age group ""0-14"" had a larger population.","Age group ""65+"" had a larger population.","p49"
"stacked_area_chart-retrieve_value-education","350","431","p49"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-education","0.4","0.4","p49"
"stacked_bar_chart-locate_value-economy","2018, Technology, $492 million","2018, Technology, $492 million","p49"
"stacked_bar_chart-make_comparisons-education","School B","School B","p49"
"stacked_bar_chart-retrieve_value-politics","300","472","p49"
"tree_map-identify_the_hierarchical_structure-innovation","Healthcare","Healthcare","p49"
"tree_map-locate_value-economy","Livestock","Livestock","p49"
"tree_map-retrieve_value-economy","25%","15%","p49"
"100_percent_stacked_bar_chart-locate_value-innovation","Company E","Company E","p14"
"100_percent_stacked_bar_chart-make_comparisons-weather_and_climate","Cloudy","Cloudy","p14"
"100_percent_stacked_bar_chart-retrieve_value-food_and_agriculture","19%","19%","p14"
